Hours_Studied,Attendance,Sleep_Hours,Previous_Scores,Exam_Score
8,77,6,87,63
20,72,9,66,67
20,71,7,62,66
35,99,7,85,79
19,66,8,74,64
22,89,6,80,73
20,60,7,82,63
13,84,5,78,65
27,97,8,81,73
25,72,8,94,70
25,67,9,93,68
15,86,7,57,65
28,89,9,79,71
12,88,6,72,64
24,73,8,64,68
33,70,6,82,69
14,98,7,76,69
17,97,8,89,69
21,78,10,55,67
17,94,8,65,68
11,78,8,51,64
20,77,6,87,66
14,66,7,96,63
23,77,7,79,66
14,81,9,81,66
29,61,7,52,67
15,78,9,75,65
18,91,5,76,68
25,87,9,52,68
13,85,6,89,65
21,96,8,64,71
28,61,6,86,65
10,82,8,70,64
21,91,6,100,72
22,82,9,61,65
25,73,8,53,66
13,65,6,99,61
12,96,8,62,68
23,79,8,82,69
22,95,6,69,72
22,83,5,82,71
22,87,5,80,70
16,92,5,85,68
21,86,5,51,67
22,76,8,92,68
16,81,8,74,68
31,92,4,76,72
23,75,6,71,65
13,76,5,99,66
24,64,8,90,65
14,97,6,66,67
25,64,5,89,66
27,86,7,72,69
15,77,8,94,66
26,76,6,52,69
22,87,7,68,67
25,63,6,71,66
31,84,9,87,71
19,91,6,59,70
15,93,6,64,71
15,67,7,86,66
15,96,7,54,67
20,86,8,60,66
22,95,9,88,72
22,79,9,94,68
25,82,6,86,69
20,97,7,76,71
29,96,9,55,70
18,78,9,91,67
36,71,6,56,69
24,76,8,69,65
15,76,8,53,65
14,71,8,85,64
23,71,9,75,63
19,94,5,95,69
24,63,6,57,64
23,87,8,91,72
20,67,7,76,63
15,74,4,68,64
11,62,5,82,64
17,71,8,90,67
25,91,8,72,71
21,95,5,62,70
13,69,9,96,61
21,79,7,66,67
22,79,5,100,72
15,95,6,88,66
21,91,5,84,70
20,81,6,51,67
13,87,4,72,67
22,94,7,75,71
23,60,8,69,66
26,76,5,57,68
26,96,7,68,74
12,90,6,54,64
14,82,8,65,65
23,81,4,54,66
23,74,8,88,66
23,81,4,84,68
43,86,7,97,78
23,77,6,69,67
27,89,6,89,74
26,94,5,79,74
24,66,9,82,62
18,78,5,77,66
25,76,5,89,69
15,87,10,52,68
19,70,7,54,89
17,86,5,55,66
20,95,7,64,68
34,77,7,80,69
9,96,4,82,67
24,100,6,86,75
10,64,7,64,60
17,69,9,83,66
27,98,7,56,73
20,98,7,50,68
14,64,6,85,62
16,61,9,86,62
24,66,8,81,65
16,100,8,63,69
21,67,7,96,64
20,80,5,94,67
16,94,9,76,70
33,61,7,99,70
24,84,7,65,69
8,71,8,75,61
21,94,7,96,69
16,71,5,73,63
25,87,7,74,67
15,87,4,54,65
19,69,7,61,66
23,61,9,58,63
25,76,4,78,68
13,72,7,66,65
18,92,8,54,67
17,92,8,75,68
16,78,6,83,64
31,84,5,87,71
22,84,6,92,69
12,93,9,74,67
26,77,4,70,65
33,71,5,84,68
26,71,6,51,67
11,81,6,82,67
17,78,7,70,66
28,78,9,73,70
16,64,5,65,65
23,89,7,56,69
25,69,7,70,65
14,68,6,65,63
20,77,5,98,67
1,69,6,97,61
14,83,6,82,65
18,75,8,95,66
13,78,8,88,66
30,81,5,67,69
11,68,6,80,63
17,66,6,61,65
21,95,10,84,67
29,77,7,52,69
11,76,5,92,65
27,61,6,79,65
20,80,6,53,65
14,82,8,94,67
23,82,8,94,66
21,88,7,93,72
16,67,7,89,66
20,70,7,84,65
18,92,7,70,69
21,98,4,57,68
24,65,7,64,64
30,80,6,67,69
13,69,5,68,59
33,62,10,78,68
8,73,7,60,60
19,66,7,59,62
24,88,6,86,67
22,81,8,50,68
16,66,5,57,64
19,60,7,72,65
17,92,6,57,65
16,67,8,98,63
25,84,6,84,70
22,73,9,72,66
16,83,7,56,68
25,73,8,69,66
22,63,8,83,63
25,69,9,98,66
24,68,6,74,65
15,77,8,85,66
17,86,4,60,67
24,71,7,81,66
24,60,6,62,63
20,81,5,60,66
21,84,6,75,67
28,99,6,61,71
16,84,7,86,67
23,79,6,97,69
19,83,7,70,67
19,97,6,66,72
27,93,6,59,70
25,73,7,70,67
25,69,7,78,64
28,71,8,69,67
20,80,8,81,69
24,90,7,83,68
18,80,8,55,63
22,63,7,85,68
19,89,7,95,70
21,92,8,51,66
24,72,6,78,68
15,87,4,80,67
33,77,5,85,69
14,96,9,69,66
13,94,7,91,68
27,81,7,77,69
25,88,7,70,70
24,95,8,86,74
24,80,7,96,70
20,73,7,91,66
15,90,8,97,69
20,69,6,63,64
16,76,8,56,62
26,95,7,77,70
19,89,7,52,68
15,76,6,84,65
18,69,7,62,65
22,74,6,73,71
17,71,9,83,66
15,67,4,74,61
21,90,8,62,67
21,70,4,94,65
17,78,8,88,65
17,75,6,80,65
21,99,8,85,73
11,76,7,71,62
12,63,5,69,60
16,64,9,58,61
19,84,8,90,67
22,84,8,69,70
29,77,6,85,69
25,77,8,65,66
19,62,5,90,64
20,81,4,55,68
14,80,5,81,67
20,66,6,90,64
18,64,6,83,65
22,65,6,85,66
15,64,6,76,63
23,84,6,78,68
29,68,4,53,66
19,70,7,63,63
22,67,7,86,63
24,98,6,97,74
18,94,9,77,70
21,69,7,86,68
20,73,7,84,66
21,68,8,100,63
15,80,5,90,67
20,61,7,81,62
23,87,8,56,71
29,81,7,68,72
26,96,5,63,72
33,67,6,93,68
15,92,7,72,66
25,92,4,77,70
21,65,5,98,66
33,76,10,92,72
15,67,8,89,64
15,70,9,57,63
16,71,8,51,61
7,82,8,56,62
17,76,7,87,68
15,98,8,71,68
21,65,9,56,63
22,99,8,87,70
31,69,7,60,68
26,91,7,79,72
17,74,8,87,67
15,66,6,80,61
23,94,8,100,69
12,72,6,72,61
31,86,6,66,75
27,83,5,60,68
17,79,6,75,65
10,80,6,93,67
28,89,10,97,75
19,64,6,99,64
27,87,8,77,70
10,96,6,80,67
16,62,7,79,63
20,66,7,73,65
20,89,4,58,67
17,77,5,53,86
24,76,6,72,67
14,65,5,59,63
19,80,7,94,66
21,65,7,88,65
23,79,5,81,67
24,91,7,52,69
13,70,6,81,66
11,79,7,81,64
28,100,6,72,73
22,87,8,83,66
16,94,9,93,68
29,77,8,88,70
21,91,9,74,69
27,62,5,63,67
20,65,6,74,62
32,68,8,97,68
31,76,9,91,72
19,94,8,51,69
26,74,5,89,66
24,86,6,59,70
28,88,8,79,71
14,83,7,90,65
24,74,6,78,70
26,83,7,70,65
9,74,7,66,62
13,63,5,65,62
8,100,8,92,70
18,65,6,91,66
24,63,7,91,67
29,95,9,64,72
20,72,7,90,66
30,86,8,52,68
12,73,5,60,62
10,76,8,76,64
20,70,8,70,65
22,74,6,56,66
20,76,7,52,64
8,89,7,81,67
19,80,7,66,69
12,98,8,51,68
24,62,6,72,64
22,80,7,65,68
14,83,9,79,64
17,97,9,96,71
14,62,8,65,61
20,83,7,100,68
26,94,10,54,73
14,70,9,54,64
23,95,7,86,72
17,61,7,87,65
15,89,6,71,68
19,97,8,64,71
14,86,8,90,65
17,78,8,98,66
13,62,7,99,63
32,97,5,82,74
20,79,7,87,66
16,61,8,91,63
21,88,6,90,72
19,79,7,100,69
19,65,9,91,67
24,69,5,83,66
25,63,7,69,64
17,83,9,80,67
17,85,7,94,69
18,80,6,65,65
6,93,7,52,64
11,94,8,66,65
28,85,7,98,72
30,61,8,90,66
19,88,7,59,66
23,77,7,51,67
22,83,8,83,69
38,86,7,79,73
27,74,6,54,69
19,97,8,98,68
14,65,7,81,61
10,87,6,83,63
21,60,8,93,63
15,97,9,67,68
11,65,7,78,63
16,64,7,79,66
14,73,5,98,65
30,75,7,57,68
25,69,7,88,66
20,83,7,79,66
29,78,6,92,70
20,61,8,92,61
15,73,7,51,61
29,92,10,63,71
23,88,7,59,67
14,89,4,73,70
19,88,5,95,69
15,72,8,50,65
12,64,6,74,61
26,71,6,94,68
31,93,5,96,74
12,99,6,83,67
23,80,7,91,70
16,60,8,66,59
17,66,5,64,64
16,73,8,52,66
15,83,5,75,63
20,63,8,73,61
15,98,8,69,68
22,75,6,56,65
20,97,5,62,69
19,91,8,60,68
15,90,6,97,69
17,84,7,98,67
25,85,8,50,70
23,86,8,59,68
14,85,6,94,67
21,82,7,52,67
25,99,6,97,75
10,89,8,69,63
23,91,9,77,70
16,95,6,88,70
23,69,7,62,64
15,63,8,55,59
9,79,7,90,63
10,81,8,99,67
20,93,7,83,68
22,78,5,91,68
15,83,7,97,97
24,81,9,61,66
10,62,7,68,61
20,85,9,61,70
13,93,4,53,65
16,66,8,87,64
20,84,6,57,69
15,84,6,55,64
18,67,9,68,61
26,65,7,53,64
17,99,6,59,68
25,76,8,53,67
13,69,4,94,62
23,67,9,89,66
29,87,10,93,72
5,84,8,93,68
15,86,8,97,71
23,64,7,59,65
19,96,5,95,68
22,76,9,76,65
16,73,8,58,64
21,78,8,83,65
19,76,8,66,65
27,95,7,52,73
22,97,6,54,72
22,72,10,71,64
18,95,7,91,69
17,91,6,66,69
17,97,9,88,70
22,70,7,53,83
17,83,7,70,68
22,71,9,56,84
32,93,8,93,75
25,60,8,98,67
18,83,5,66,69
27,74,8,99,71
18,73,5,88,66
8,86,6,50,65
14,94,7,74,70
9,84,7,92,66
18,94,8,77,74
20,71,8,77,66
30,81,8,72,68
22,78,5,70,68
19,60,10,51,62
25,82,7,81,71
7,86,9,88,63
21,84,4,90,69
25,89,7,81,71
11,83,5,67,66
27,63,6,51,64
22,65,7,95,65
18,84,6,71,69
24,71,9,80,66
34,63,10,60,67
21,77,6,57,65
21,82,6,54,65
17,73,5,90,67
15,89,9,82,66
25,86,7,81,69
15,73,7,96,64
20,90,7,58,70
17,86,7,59,68
23,85,6,59,68
22,82,7,71,69
26,60,7,94,68
17,88,8,94,70
18,75,5,80,67
14,98,7,83,72
17,93,6,95,69
22,84,7,81,69
25,70,8,61,64
14,68,6,85,63
25,74,9,88,70
28,79,4,82,70
22,72,9,64,66
31,81,9,70,70
15,67,6,74,66
13,99,6,57,68
9,64,5,73,61
29,97,8,58,72
24,97,7,75,69
20,81,6,53,63
22,89,5,97,72
13,77,10,62,65
35,85,6,73,74
21,74,7,52,62
21,72,7,60,65
24,83,6,85,68
23,80,6,56,66
21,83,6,81,71
15,71,8,50,62
23,75,6,73,65
31,63,9,86,68
28,62,6,96,70
30,70,8,75,67
17,63,4,92,63
14,64,6,90,63
19,93,6,65,69
20,62,5,94,66
27,86,7,82,70
10,71,7,55,63
29,95,4,97,72
19,79,10,59,65
17,72,7,74,67
14,81,7,73,63
10,75,9,81,65
25,83,8,83,67
20,65,7,62,80
12,100,4,68,68
12,77,8,57,63
18,74,6,56,64
30,88,9,91,73
18,75,6,88,66
11,93,6,72,66
19,78,5,55,66
18,89,5,72,69
4,64,7,65,59
20,94,7,89,68
19,89,6,55,67
24,68,10,73,64
31,66,8,80,65
27,73,7,99,68
18,99,4,54,70
13,70,8,56,62
35,78,10,99,72
20,61,7,70,62
20,76,6,87,68
20,83,7,89,69
21,98,5,66,73
19,81,8,61,69
17,93,9,64,67
17,82,6,88,65
20,62,6,92,63
17,73,7,85,66
16,83,6,72,66
21,98,5,63,70
18,94,6,71,69
29,69,6,96,70
4,69,9,93,58
27,68,9,66,67
27,97,9,66,73
8,94,8,89,66
18,91,7,71,70
18,76,6,79,67
12,80,9,71,60
15,79,8,62,65
13,70,5,59,63
31,80,6,57,72
26,61,5,51,62
28,65,4,64,70
24,95,8,59,70
13,90,5,63,64
17,77,6,54,64
23,81,7,67,67
13,75,7,76,64
24,90,6,97,72
19,91,9,67,66
18,91,5,52,66
24,89,5,68,71
23,68,8,91,66
18,74,6,67,64
27,79,6,65,66
14,73,5,96,62
24,90,8,65,70
24,73,7,99,69
18,66,7,92,65
22,76,6,84,70
12,99,6,80,70
26,69,7,61,67
19,84,8,87,69
17,77,9,67,62
26,63,9,74,67
16,80,8,55,65
12,88,8,65,65
11,81,5,76,65
24,95,6,73,69
12,72,8,67,63
31,63,7,74,66
8,97,8,87,67
30,75,8,73,69
21,83,8,75,67
19,92,5,85,70
17,73,7,92,67
22,89,6,76,70
20,65,6,97,65
27,72,4,68,63
21,66,7,63,64
21,92,4,85,69
18,69,8,59,60
20,89,9,95,69
22,98,8,69,72
10,81,7,85,63
12,82,9,79,63
24,78,7,53,66
21,73,6,85,70
19,79,7,90,68
20,84,10,99,69
22,99,5,71,72
17,98,5,75,67
15,94,8,94,68
21,96,7,63,70
14,79,6,59,68
22,86,5,57,69
10,96,4,99,68
26,76,5,64,66
23,98,9,88,72
22,77,7,72,67
26,84,4,62,70
30,88,9,96,73
26,98,9,73,73
9,70,9,78,60
12,90,6,61,67
16,81,7,66,69
20,71,7,87,65
23,91,9,67,70
16,82,6,75,68
21,86,6,56,66
15,73,8,93,65
16,79,9,87,64
12,85,7,88,67
14,76,8,59,65
12,68,7,75,64
14,98,7,51,67
26,80,6,66,70
14,89,5,67,63
36,76,6,96,71
23,74,6,100,68
21,76,7,81,67
15,76,9,76,67
24,82,7,72,68
17,82,6,51,66
21,80,8,90,68
35,65,7,84,70
19,80,8,82,67
27,67,6,90,67
16,65,9,96,62
20,97,9,69,67
31,84,7,71,70
16,86,8,99,72
31,76,9,83,70
24,96,6,93,94
17,86,7,61,66
24,91,7,66,69
26,75,5,70,68
24,98,8,66,71
11,93,9,94,69
16,94,7,76,67
19,67,8,98,64
20,71,9,66,63
24,71,6,52,66
21,71,8,57,66
12,94,6,61,69
22,61,6,82,64
24,63,8,59,62
23,71,7,69,66
26,68,8,90,70
25,69,7,56,67
23,92,8,54,68
20,83,9,77,67
10,60,9,85,62
23,77,8,96,67
21,76,8,83,68
22,65,7,97,64
12,87,7,62,64
14,88,8,67,66
26,89,7,92,72
20,89,8,91,72
24,60,9,83,66
20,98,7,75,72
20,93,4,51,69
26,96,10,64,72
17,61,6,58,60
21,97,7,53,69
17,92,8,89,68
17,93,9,57,69
18,64,10,68,62
21,90,6,99,71
17,98,9,70,70
28,87,7,57,68
15,83,10,84,68
19,98,9,90,70
17,78,7,64,65
29,84,6,90,73
21,79,4,64,66
26,97,8,85,71
11,63,9,56,62
22,80,8,71,68
25,87,4,76,70
20,92,5,86,68
26,83,8,83,71
17,96,10,93,70
28,98,7,59,72
34,63,9,83,69
18,76,5,56,63
17,61,7,74,62
29,73,7,76,68
29,81,9,51,70
17,96,6,54,69
17,94,10,92,68
18,65,7,64,65
12,64,5,67,59
14,84,5,82,66
14,81,6,61,64
15,71,8,60,63
20,96,6,71,72
21,97,6,53,67
29,76,8,96,94
14,96,4,97,70
26,75,6,72,66
19,89,5,60,69
20,79,6,74,64
24,65,7,55,63
13,97,7,70,71
22,78,7,54,65
21,89,9,85,68
23,75,7,64,64
22,61,10,76,64
35,64,8,51,66
16,80,6,76,68
17,88,10,50,67
16,73,7,96,66
17,88,10,75,68
16,88,7,55,66
27,88,7,67,71
29,80,8,52,71
17,97,7,77,68
15,80,9,56,64
23,78,10,74,67
17,68,4,65,64
24,72,8,88,68
21,62,6,74,62
11,85,4,92,64
29,70,8,97,70
31,72,8,98,68
16,91,8,63,69
18,73,8,88,65
22,70,8,72,67
22,67,6,71,65
24,91,7,93,71
32,65,8,57,65
19,78,9,74,66
15,80,7,80,65
12,87,7,53,65
16,85,7,93,68
20,92,5,66,68
31,62,8,83,67
17,72,5,96,65
21,71,8,86,66
20,66,7,94,63
27,72,5,53,70
35,72,5,75,72
17,81,6,78,67
17,87,6,84,67
26,75,9,56,66
24,89,7,83,66
31,73,8,57,69
24,72,9,53,62
18,82,9,73,66
24,61,7,80,64
27,63,6,98,67
25,77,8,85,71
23,98,6,80,73
26,89,10,61,68
27,64,8,58,66
28,94,7,80,75
24,89,8,61,72
19,84,7,85,68
21,93,6,56,68
27,76,8,67,69
15,69,7,89,63
22,80,10,92,70
18,82,6,67,66
20,82,8,60,66
28,83,6,98,72
21,98,6,88,71
20,96,4,90,72
12,95,8,61,69
24,92,6,71,71
24,98,9,53,69
33,64,8,55,68
18,71,7,61,61
21,80,5,65,68
21,94,8,100,72
29,80,6,71,70
19,90,5,85,73
22,66,8,95,67
24,70,5,62,65
21,89,4,57,68
17,67,9,62,65
21,74,6,94,97
26,71,4,83,66
14,74,6,73,67
21,88,6,91,70
16,75,9,62,66
27,82,5,62,69
11,64,5,78,62
17,92,8,90,68
22,75,6,63,67
29,86,7,61,68
20,89,6,74,69
17,68,10,57,62
31,95,5,87,75
11,85,7,79,65
7,77,9,76,63
23,67,6,94,66
17,98,6,87,71
14,90,8,57,66
24,68,9,71,66
21,74,6,66,66
17,92,9,90,71
12,88,7,86,68
25,91,8,74,71
24,78,9,91,68
19,89,8,71,68
31,75,7,90,68
14,68,6,52,62
11,85,10,57,65
16,99,6,88,71
20,72,7,56,63
21,78,8,84,68
19,87,8,86,69
22,82,10,83,69
12,94,7,91,71
29,90,7,76,71
20,62,9,95,62
27,100,7,78,70
22,90,8,75,70
23,95,7,75,73
23,86,8,96,71
23,94,8,62,69
24,64,6,85,66
28,74,4,62,65
21,95,4,55,71
24,68,4,98,68
19,63,7,56,64
29,92,4,84,71
16,93,7,71,67
31,67,7,92,66
20,94,8,89,71
11,87,8,57,62
21,81,8,73,67
16,93,8,51,67
25,77,7,71,66
16,68,7,85,64
17,71,6,62,62
9,80,7,91,65
17,81,5,53,63
5,92,9,52,64
10,92,6,51,65
25,83,7,64,68
25,91,7,73,72
23,68,9,55,64
14,62,4,100,62
20,95,7,100,69
20,63,8,76,64
13,70,10,78,61
29,88,7,96,72
25,76,6,88,66
19,95,10,58,69
20,72,8,90,65
21,60,9,62,64
8,72,5,72,62
19,83,8,77,66
16,75,5,86,62
14,81,5,58,66
18,95,8,54,70
31,96,8,93,75
24,71,6,91,67
17,78,9,76,66
23,82,6,83,71
28,98,7,86,75
26,100,7,74,72
20,69,7,63,64
16,89,9,74,65
24,75,5,98,67
22,60,6,92,63
25,60,5,73,62
24,78,10,61,69
26,80,7,94,70
17,61,6,82,63
28,87,7,70,71
21,72,8,56,63
32,82,8,88,71
16,72,6,66,63
30,67,6,80,68
21,76,5,78,65
16,69,7,85,66
17,81,9,77,66
18,68,6,82,66
23,80,8,54,65
23,66,6,83,66
17,87,5,60,67
20,90,8,70,68
33,64,10,76,68
30,79,8,84,69
23,63,6,87,64
20,84,6,85,67
21,71,10,55,63
24,81,7,69,67
14,81,6,64,64
18,97,7,70,66
10,82,7,82,65
22,83,8,60,68
24,76,9,75,66
17,98,9,94,71
29,91,7,87,74
13,71,7,86,65
11,94,8,92,68
21,77,6,70,68
26,93,8,88,72
30,93,7,53,74
17,68,8,53,61
26,88,10,67,65
20,72,8,60,63
19,72,7,76,66
25,72,6,59,66
24,89,7,99,73
11,69,5,93,63
29,60,8,99,68
28,89,4,90,73
22,64,8,68,65
23,70,7,75,66
22,75,6,62,65
17,79,7,82,66
16,62,4,89,65
20,99,8,75,70
27,89,7,65,70
23,73,9,75,68
18,73,8,53,64
25,78,7,86,68
3,85,8,73,62
27,66,6,95,68
10,68,6,96,61
18,94,7,56,69
13,70,7,100,65
12,75,6,98,65
27,95,7,81,72
17,87,7,91,70
22,74,10,51,65
20,87,7,99,69
23,61,6,73,65
20,89,7,95,69
12,79,9,69,65
26,93,9,89,72
17,98,10,71,70
11,97,7,68,64
17,96,8,97,67
29,80,5,85,69
25,74,6,92,70
18,79,5,77,65
18,88,8,96,69
18,95,7,87,74
32,68,7,54,66
22,97,6,88,72
23,93,8,51,67
26,99,4,91,75
21,95,7,67,70
18,71,7,80,63
19,64,4,87,65
20,64,8,82,64
20,72,7,84,65
24,85,8,95,70
20,92,10,69,67
24,96,7,77,67
20,85,8,59,68
20,60,9,73,65
8,67,8,58,61
25,64,6,82,63
22,75,5,66,80
26,80,8,93,69
3,62,6,67,55
33,74,9,64,70
19,67,6,75,65
27,86,7,59,68
14,79,5,60,64
24,80,6,89,69
14,77,6,75,89
16,98,6,60,67
31,69,7,52,92
19,81,6,73,67
21,89,10,87,70
25,82,8,68,68
23,97,9,62,70
21,75,7,70,67
22,79,7,98,69
34,64,6,71,67
20,84,10,63,69
21,72,7,78,63
26,66,6,91,69
27,82,6,51,66
27,81,8,78,68
24,63,9,92,69
13,88,9,61,66
30,85,6,96,72
13,68,6,79,62
22,79,9,76,67
15,89,10,98,67
20,81,7,56,67
22,76,9,87,65
22,73,5,91,67
23,84,6,74,66
30,98,5,50,70
23,87,8,76,71
19,63,7,58,64
26,78,7,78,69
27,96,9,87,72
13,64,6,77,60
24,100,7,82,71
24,98,5,55,71
18,63,9,55,66
28,97,9,93,74
19,75,8,52,64
21,94,7,64,68
19,77,6,97,66
20,78,5,73,65
13,85,7,84,64
11,91,8,61,65
30,61,10,64,69
15,84,6,75,68
14,67,7,82,62
7,74,9,98,63
16,74,9,79,65
12,79,6,55,62
30,73,7,68,67
26,64,6,62,64
16,66,6,63,61
34,61,9,75,65
26,79,7,66,67
18,98,7,64,70
5,65,7,98,59
34,98,7,79,75
12,89,7,63,67
10,85,6,64,64
26,86,9,91,72
35,93,6,94,76
28,64,6,84,69
23,80,7,72,65
24,88,10,88,72
25,83,6,97,69
25,93,8,58,71
22,63,7,93,64
21,88,7,92,74
20,81,8,68,68
15,75,4,65,66
18,74,6,78,65
10,85,8,64,67
19,96,7,57,69
14,80,7,98,66
13,93,8,75,69
21,76,6,74,67
28,64,9,56,64
26,62,8,75,67
11,62,7,87,61
14,75,8,62,61
26,73,9,68,68
14,89,6,59,66
19,90,8,68,66
23,62,10,93,68
14,69,8,62,63
21,71,7,51,66
12,82,10,77,66
16,66,7,79,66
22,65,9,66,65
10,98,6,82,69
23,92,9,52,71
20,67,6,67,66
23,76,7,57,66
21,74,6,61,65
28,92,10,69,71
21,80,7,75,69
17,65,5,55,61
21,90,7,55,70
23,76,8,84,70
20,71,7,70,65
20,75,6,59,64
16,80,9,62,68
16,74,9,86,63
12,70,5,53,63
30,76,6,75,71
13,61,7,68,58
16,91,6,91,68
16,67,8,90,65
25,62,10,84,65
18,86,6,69,68
27,91,9,82,69
16,93,5,82,71
22,80,8,67,65
15,68,6,94,64
33,89,8,99,75
13,88,4,66,67
22,70,5,90,68
24,96,8,75,72
22,64,6,73,67
19,99,7,69,72
19,94,10,65,69
20,88,7,96,68
19,98,8,87,70
26,89,6,72,69
33,68,5,88,67
17,78,7,86,63
12,63,5,63,61
19,76,6,59,66
35,90,7,92,73
15,75,7,91,67
30,73,8,100,72
30,84,8,51,69
17,95,5,77,69
23,62,6,85,63
30,75,4,79,67
18,66,6,86,63
19,88,8,57,66
17,64,9,50,62
14,87,7,55,68
16,71,9,69,65
13,68,8,66,59
20,97,7,94,72
15,61,6,54,63
21,78,4,72,68
11,61,9,98,61
22,79,7,75,65
25,80,9,57,68
8,73,6,65,61
22,65,10,81,63
27,75,7,51,67
13,87,6,98,66
30,91,7,78,75
23,81,7,85,68
16,84,7,75,65
20,68,6,98,64
23,71,4,79,67
20,66,6,83,64
23,70,9,93,67
14,69,6,93,63
21,81,4,51,67
12,83,5,64,65
19,98,7,62,70
15,68,6,50,62
16,86,7,94,69
27,93,6,66,70
27,82,9,67,68
24,70,8,55,68
13,71,10,99,64
18,62,6,91,63
27,72,7,79,68
21,90,9,89,67
34,62,8,89,68
22,69,6,83,66
21,88,8,59,67
18,91,8,86,69
21,78,4,78,68
19,88,6,86,70
24,76,7,77,68
26,66,9,98,66
15,76,8,81,67
12,83,6,79,65
9,98,6,92,67
23,63,8,69,63
13,80,4,66,64
7,73,6,75,64
22,80,9,79,66
35,61,7,61,68
20,73,6,84,67
25,93,5,90,72
20,82,8,79,67
19,78,7,76,66
26,71,7,65,66
18,72,8,95,67
22,75,7,88,65
22,93,7,74,70
16,99,5,83,69
26,78,5,67,69
19,76,8,53,66
15,94,8,60,66
23,77,8,54,67
15,82,6,75,67
20,69,8,81,67
20,90,6,69,72
27,81,9,77,68
23,92,6,54,70
20,91,6,88,69
25,69,7,52,65
28,89,8,82,72
23,92,7,72,69
20,74,7,59,68
12,67,6,76,62
14,60,7,89,60
18,78,7,71,67
16,74,6,68,67
19,82,7,57,67
20,68,7,80,63
23,94,10,91,71
20,70,6,78,66
23,69,6,58,65
20,79,7,83,69
8,80,6,52,63
14,69,5,92,64
19,71,5,96,67
13,67,6,80,62
24,89,6,94,68
29,91,5,54,71
27,78,7,61,66
19,89,4,66,69
29,89,8,89,71
21,66,6,74,66
18,99,6,67,72
16,93,8,58,70
18,68,8,91,65
18,67,6,51,64
21,65,8,67,63
21,66,9,62,63
20,90,5,56,66
23,79,8,59,68
27,91,5,75,74
26,90,9,71,71
11,84,6,76,67
5,87,6,86,66
26,61,9,95,67
12,72,8,56,62
19,86,6,54,68
13,60,7,66,62
9,61,6,77,82
23,94,5,55,70
25,87,7,86,72
17,71,6,78,64
4,88,6,87,66
17,92,9,68,68
22,72,6,70,64
11,61,7,90,61
21,97,9,63,69
20,74,7,69,68
23,64,6,51,64
21,80,7,78,67
14,91,8,93,67
27,69,8,51,65
19,71,10,81,68
20,70,6,92,67
14,100,7,75,67
17,68,5,66,64
15,83,8,100,70
19,97,7,53,69
30,66,7,61,66
12,99,6,94,69
10,98,6,65,66
29,95,7,91,73
19,69,6,67,66
16,85,7,91,69
26,90,7,84,70
16,99,5,73,71
31,67,5,76,70
24,91,6,59,69
17,74,9,56,63
33,67,6,86,71
16,77,7,92,67
24,92,5,86,73
22,79,6,96,68
28,82,5,95,69
29,100,8,89,76
20,76,5,95,68
15,85,8,58,65
23,75,8,87,66
16,76,7,88,65
32,88,8,58,69
